is_real,confidence,key_observations,reasoning,processing_time,image_path,actual_label,actual_is_real,is_real_prediction,real_probability,fake_probability
True,0.95,"['Consistent lighting and shadows on the coat and ground', 'Realistic texture and detail in the fabric and flowers', 'No visible artifacts or distortions suggesting AI generation', 'Natural hand positioning and details', 'Background coherence with realistic pavement']","The image shows consistent lighting and shadows, detailed textures in both the fabric and flowers, and a coherent and realistic background. These elements typically indicate a real photograph.",8.651185989379883,/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/real/real_002.jpg,real,1,True,0.95,0.05
False,0.85,"['Text on the sign is slightly awkward and appears unnatural.', 'Lighting and reflections are inconsistent, especially on metallic surfaces.', 'The food texture lacks realistic imperfections common in real photos.', 'Background details, such as jars and appliances, appear slightly distorted.']","The image displays signs of AI generation, including unnatural text and inconsistencies in textures and lighting, which are less common in real photos.",5.76498007774353,/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/fake/fake_015.png,fake,0,False,0.15,0.85
True,0.95,"['Consistent lighting and shadows throughout the image', 'Realistic textures on the walls and metal railings', 'Natural imperfections in the building materials', 'Perspective and scale appear correct', 'Presence of small details like posters and a fire extinguisher']","The image exhibits realistic lighting, textures, and details typical of a real photograph. There are no visible artifacts or inconsistencies usually associated with AI-generated images.",9.371024131774902,/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/real/real_003.jpg,real,1,True,0.95,0.05
False,0.7,"['Unnatural smoothness of textures in the prosciutto', 'Uniformity in lighting without imperfections', ""Lack of fine detail in the child's skin and sweater"", 'Consistent and overly neat arrangement of food items']","The image has a uniform and overly smooth appearance, typical of AI-generated images. The textures lack realistic imperfections, and there's a consistent neatness that appears artificial. These elements suggest it is not a real photograph.",6.091372013092041,/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/fake/fake_037.png,fake,0,False,0.3,0.7
True,0.95,"['Consistent lighting and natural appearance of the night sky', 'Realistic star patterns with proper distribution', 'Natural silhouettes of trees in the foreground', 'Realistic texture and detail in the Milky Way', 'Absence of noticeable artifacts or unnatural elements']","The image showcases a natural night sky with consistent elements such as star patterns and foreground silhouettes. The texture and distribution of the stars and Milky Way are realistic, and there's a coherence in shadows and lighting that suggests a real photograph.",14.557983875274658,/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/real/real_035.jpg,real,1,True,0.95,0.05
False,0.9,"['Smoothness of skin textures', 'Uniform lighting without natural variation', 'Background has perfect alignment and saturation', 'Facial features look stylized', 'Lack of imperfections or noise']","The image appears to be AI-generated due to the overly smooth skin textures, uniform lighting, and stylized facial features without natural imperfections. The background and colors are too perfect, further indicating an artificial creation.",8.912071943283081,/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/fake/fake_035.png,fake,0,False,0.0999999999999999,0.9
True,0.95,"['Consistent lighting and shadows, especially with sunlight reflection on the building', 'Realistic textures on the car and building', 'Coherent background with natural atmospheric perspective', 'No apparent unnatural elements or artifacts', 'Presence of realistic details like a street lamp and a bird in flight']","The image exhibits consistent lighting and shadows, realistic textures, and a coherent background, all of which point towards it being a real photograph. The sunlight reflection and atmospheric perspective are rendered naturally, boosting confidence in its authenticity.",8.840893268585205,/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/real/real_025.jpg,real,1,True,0.95,0.05
False,0.85,"[""Overly smooth textures on the woman's skin and hair"", 'Unnatural lighting and reflections, particularly on the cart', 'Slight inconsistencies in shadows and perspective', 'Plastic-like appearance of the pink cart']","The image exhibits several attributes typical of AI-generated content, such as overly smooth textures, unusual lighting consistency, and plastic-like quality in some elements. These indicators suggest the image is AI-generated.",8.10967206954956,/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/fake/fake_029.png,fake,0,False,0.15,0.85
True,0.97,"['Consistent lighting and shadows on the table and flowers', 'Realistic texture of the fabric and wooden surface', 'Natural imperfections and irregularities in the wood and vase', 'No visible artifacts or unnatural elements', 'Background coherence with plausible dim lighting']","The image displays consistent and realistic lighting with detailed textures and natural imperfections, indicative of a real photograph rather than an AI-generated image.",5.904851913452148,/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/real/real_044.jpg,real,1,True,0.97,0.030000000000000027
True,0.95,"['Consistent lighting and shadows on the cactus', 'Detailed texture on the cactus surface', 'Background shows realistic sky gradient', 'Natural imperfections and noise on the cactus', 'No visible artifacts or unnatural elements']","The image presents consistent lighting and shadowing on the cactus, with detailed textures that are typical in real photos. The sky background is coherent, with a natural gradient and no visible artifacts. These elements suggest it is a real photograph.",9.441327810287476,/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/real/real_047.jpg,real,1,True,0.95,0.050000000000000044
